Type,Name,Value,TargetName,ObjectIdentifier,ExportOrd,ExportStatus,FaultCause,Device Facets
Snmp Numeric Export,ACTIVE_PWR,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/ACTIVE_PWR,1.3.6.1.4.1.4131.1.6.1.2.1.3.1,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/ACTIVE_PWR,ok,,
Snmp Numeric Export,PWR_FACTOR,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/PWR_FACTOR,1.3.6.1.4.1.4131.1.6.1.2.1.3.2,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/PWR_FACTOR,ok,,
Snmp Numeric Export,L1_L2_VOLTS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L1_L2_VOLTS,1.3.6.1.4.1.4131.1.6.1.2.1.3.3,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L1_L2_VOLTS,ok,,
Snmp Numeric Export,L2_L3_VOLTS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L2_L3_VOLTS,1.3.6.1.4.1.4131.1.6.1.2.1.3.4,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L2_L3_VOLTS,ok,,
Snmp Numeric Export,L3_L1_VOLTS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L3_L1_VOLTS,1.3.6.1.4.1.4131.1.6.1.2.1.3.5,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L3_L1_VOLTS,ok,,
Snmp Numeric Export,L1_N_VOLTS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L1_N_VOLTS,1.3.6.1.4.1.4131.1.6.1.2.1.3.6,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L1_N_VOLTS,ok,,
Snmp Numeric Export,L2_N_VOLTS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L2_N_VOLTS,1.3.6.1.4.1.4131.1.6.1.2.1.3.7,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L2_N_VOLTS,ok,,
Snmp Numeric Export,L3_N_VOLTS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L3_N_VOLTS,1.3.6.1.4.1.4131.1.6.1.2.1.3.8,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L3_N_VOLTS,ok,,
Snmp Numeric Export,L1_AMPS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L1_AMPS,1.3.6.1.4.1.4131.1.6.1.2.1.3.9,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L1_AMPS,ok,,
Snmp Numeric Export,L2_AMPS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L2_AMPS,1.3.6.1.4.1.4131.1.6.1.2.1.3.10,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L2_AMPS,ok,,
Snmp Numeric Export,L3_AMPS,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/L3_AMPS,1.3.6.1.4.1.4131.1.6.1.2.1.3.11,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/L3_AMPS,ok,,
Snmp Numeric Export,FREQ,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/FREQ,1.3.6.1.4.1.4131.1.6.1.2.1.3.12,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/FREQ,ok,,
Snmp Numeric Export,THD_AMPS_L1,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/THD_AMPS_L1,1.3.6.1.4.1.4131.1.6.1.2.1.3.13,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/THD_AMPS_L1,ok,,
Snmp Numeric Export,THD_AMPS_L2,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/THD_AMPS_L2,1.3.6.1.4.1.4131.1.6.1.2.1.3.14,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/THD_AMPS_L2,ok,,
Snmp Numeric Export,THD_AMPS_L3,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/THD_AMPS_L3,1.3.6.1.4.1.4131.1.6.1.2.1.3.15,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/THD_AMPS_L3,ok,,
Snmp Numeric Export,THD_VOLTS_L1,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/THD_VOLTS_L1,1.3.6.1.4.1.4131.1.6.1.2.1.3.16,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/THD_VOLTS_L1,ok,,
Snmp Numeric Export,THD_VOLTS_L2,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/THD_VOLTS_L2,1.3.6.1.4.1.4131.1.6.1.2.1.3.17,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/THD_VOLTS_L2,ok,,
Snmp Numeric Export,THD_VOLTS_L3,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/THD_VOLTS_L3,1.3.6.1.4.1.4131.1.6.1.2.1.3.18,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/THD_VOLTS_L3,ok,,
Snmp Numeric Export,ACT_ENERGY,0.0 {ok},/Drivers/ModbusAsyncNetwork/KWHM/points/ACT_ENERGY,1.3.6.1.4.1.4131.1.6.1.2.1.3.19,station:|slot:/Drivers/ModbusAsyncNetwork/KWHM/points/ACT_ENERGY,ok,,
Snmp Numeric Export,A1_COLD_AVE,0.0 {ok},/Drivers/ModbusTcpNetwork/A1_ECB/points/A1_COLD_AVE,1.3.6.1.4.1.4131.1.6.1.2.1.3.20,station:|slot:/Drivers/ModbusTcpNetwork/A1_ECB/points/A1_COLD_AVE,ok,,
Snmp Numeric Export,B1_COLD_AVE,0.0 {ok},/Drivers/ModbusTcpNetwork/B1_ECB/points/B1_COLD_AVE,1.3.6.1.4.1.4131.1.6.1.2.1.3.21,station:|slot:/Drivers/ModbusTcpNetwork/B1_ECB/points/B1_COLD_AVE,ok,,
Snmp Numeric Export,B2_COLD_AVE,0.0 {ok},/Drivers/ModbusTcpNetwork/B2_ECB/points/B2_COLD_AVE,1.3.6.1.4.1.4131.1.6.1.2.1.3.22,station:|slot:/Drivers/ModbusTcpNetwork/B2_ECB/points/B2_COLD_AVE,ok,,
